ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,       14,             J={1-1},     GOLD,          BBDecision,              Public,         9,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          13,  small-Delhi-center
               1,             1,       14,            ERR null,            ERR null,            ERR null,            ERR null,        10,              Reduce,          1000,             Created,          0.00,         0.00,        -1.00,     -1.00,          -1,            ERR null
