ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,     Id,                Name,ExecutionTime,ExecutionCost,     TasksIdAsString
               1,             1,        5,             J={1-1},     GOLD,          BBDecision,              Hybrid,      5, small-aws-us-east-1,        27.69,         0.50,               [3-4]
               1,             1,       14,             J={1-1},     GOLD,          BBDecision,              Hybrid,     11, small-aws-us-east-1,        27.69,         0.50,               [7-8]
               1,             1,       23,             J={1-1},     GOLD,          BBDecision,              Hybrid,     17, small-aws-us-east-1,   -200002.10,       -27.50,             [11-12]
