ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,        5,             J={1-1},     GOLD,          BBDecision,              Hybrid,         3,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,           5, small-aws-us-east-1
               1,             1,        5,             J={1-1},     GOLD,          BBDecision,              Hybrid,         4,              Reduce,          1000,             Success,     200025.79,    200025.79,         2.00, 200027.79,           5, small-aws-us-east-1
               1,             1,       14,             J={1-1},     GOLD,          BBDecision,              Hybrid,         7,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          11, small-aws-us-east-1
               1,             1,       14,             J={1-1},     GOLD,          BBDecision,              Hybrid,         8,              Reduce,          1000,             Success,     200025.79,    200025.79,         2.00, 200027.79,          11, small-aws-us-east-1
               1,             1,       23,             J={1-1},     GOLD,          BBDecision,              Hybrid,        11,                 Map,             1,              InExec,     200000.10,    200000.10,   -200001.10,     -1.00,          17, small-aws-us-east-1
               1,             1,       23,             J={1-1},     GOLD,          BBDecision,              Hybrid,        12,              Reduce,         10000,             Created,          0.00,         0.00,        -1.00,     -1.00,          17, small-aws-us-east-1
