ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,       26,             J={1-1},     GOLD,          BBDecision,              Public,        20,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          19,  small-Delhi-center
               1,             1,       26,             J={1-1},     GOLD,          BBDecision,              Public,        21,              Reduce,          1000,             Success,     200025.79,    200025.79,         2.00, 200027.79,          19,  small-Delhi-center
