ExperimentNumber,WorkloadNumber,     Id,                   J,UserClass,              Policy,CloudDeploymentModel,  Deadline,    Budget,ExecutionTime,      Cost,  IsDeadlineViolated,    IsBudgetViolated,NumberOfVMs,          LogMessage
               1,             1,      5,             J={9-2},     GOLD,          BBDecision,              Hybrid,    120.00,      2.50,       118.10,      0.50,No (1.8999999999941792 seconds) earlier,   No ($2.0) savings,         10,    By Decision Tree
               1,             2,     15,             J={9-2},     GOLD,             LFFCost,              Hybrid,    120.00,      2.50,        35.69,      4.50,No (84.31111111110658 seconds) earlier,YES! ($2.0) over budget,          9,                    
               1,             3,     19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,    120.00,      2.50,       118.10,      0.50,No (1.8999999999941792 seconds) earlier,   No ($2.0) savings,         10,By Performance Tree | No Solution! | By Cost Tree
